department_name,2017,2018,2019,2020,2021
Ain,10591309,20851685,25714400,23877754,29972169
Aisne,3917572,7493286,8258343,8907351,11158435
Allier,3059157,5911600,6644456,7068441,9050954
Alpes-Maritimes,56396032,111929736,125186961,119739659,146562603
Alpes-de-Haute-Provence,3307366,5654309,6587438,6934615,7439332
Ardennes,1828504,3732807,3942101,3950115,5006387
Ardèche,3984059,8007054,8773568,9213897,4804261
Ariège,1865824,3306841,3820856,4182035,5272569
Aube,2967858,5977060,6717884,7036411,9034661
Aude,6988980,13445393,14238737,14627859,19546112
Aveyron,2841638,5800692,6552304,6768925,7886517
Bouches-du-Rhône,47250902,93810545,105919116,106064989,111765686
Calvados,16827494,30676675,242153610,36391072,40658981
Cantal,1157601,2357172,2450794,2735874,3374616
Charente,3367279,6839760,7584567,7930614,10201980
Charente-Maritime,18499410,37443495,42094985,41900875,51823869
Cher,2654034,5020564,5696150,5805710,7441522
Corrèze,2175268,4565237,5111963,5437951,6816356
Corse-du-Sud,4138790,7692093,8642688,8185621,11131544
Creuse,751449,1453309,1636216,1765275,2408260
Côte-d'Or,8621125,16727292,19299318,19853489,21036477
Côtes-d'Armor,8326868,16750125,19796238,22028409,28900684
Deux-Sèvres,3401383,0,0,8786715,11102902
Dordogne,4844549,9994122,10841601,35870187,16464883
Doubs,6816820,14225810,15743483,15919337,17880397
Drôme,7946500,14689460,17008205,16634862,21151906
Essonne,26262468,0,0,55305713,66228547
Eure,14388312,13308459,15710562,17353617,20860254
Eure-et-Loir,5414911,10104698,11908784,12636102,15640572
Finistère,12910693,25509457,30430616,32740489,36908391
Gard,12895171,26864864,29642237,30586028,39405375
Gers,1979438,3584814,4345232,4396857,6104600
Gironde,47075606,88275384,94052098,93430937,118206298
Haute-Corse,2727513,5618604,6243460,6210807,6263479
Haute-Garonne,27665743,53964964,60596068,62713960,72546555
Haute-Loire,2091198,4165011,4521016,4818815,4930460
Haute-Marne,1017548,2018339,2253878,2189773,2825136
Haute-Savoie,28670552,14870030,0,65027739,68336130
Haute-Saône,1670004,3240841,3385341,3575411,4259536
Haute-Vienne,4101170,0,0,9227466,10818251
Hautes-Alpes,3906203,7933649,8873482,8960202,8954823
Hautes-Pyrénées,3062879,6026146,7298671,7360510,9248247
Hauts-de-Seine,73780318,0,0,147314780,172855676
Hérault,31149598,60345760,70292509,70235304,88342057
Ille-et-Vilaine,20274830,38466594,43716748,44746193,55036088
Indre,1585485,3052406,3432451,3466077,4417775
Indre-et-Loire,9893494,18174689,21334826,21527657,22546048
Isère,22162771,42739876,48920281,50688343,48160389
Jura,2926982,5376277,6278361,6235442,487679147
Landes,9019912,19204927,22169948,22466101,29129892
Loir-et-Cher,3358877,6378465,7332998,7594686,9963683
Loire,8080340,16099436,18298718,20237782,24238856
Loire-Atlantique,33955751,65939598,77250222,75955566,93433305
Loiret,8470442,16384355,18917720,19382324,24345685
Lot,1876760,3882059,4256347,4373823,6013092
Lot-et-Garonne,3692866,7080451,8299850,8366216,10184198
Lozère,679998,1189882,1484445,1760321,2006403
Maine-et-Loire,10005477,20521866,24070859,25370445,32026366
Manche,6187808,12526294,14667660,15497072,13577876
Marne,6767690,13587165,15517413,15638890,16988887
Mayenne,2954145,5624729,6522221,6989294,8860238
Meurthe-et-Moselle,9091276,17071500,20031195,20670240,24531719
Meuse,1227611,2365500,2723859,2736021,3305289
Morbihan,14414860,28981580,34366698,35388642,39476865
Nièvre,1756508,3241484,3557522,3808714,5017250
Nord,35520006,69999512,79380436,81018029,94787267
Oise,11863413,22016866,24973165,25923564,30936382
Orne,2433321,4604215,5202309,5794269,6637813
Paris,174525589,0,0,337383992,391376265
Pas-de-Calais,15491126,31655633,36119735,37583341,43600271
Puy-de-Dôme,8680197,16979471,18896820,18560917,11333862
Pyrénées-Atlantiques,16664024,33505292,38666924,38428442,47449344
Pyrénées-Orientales,11225222,21687750,25044271,26220550,18073450
Rhône,43925829,86192331,102093720,99682414,118308033
Sarthe,5819063,11069885,12931619,13679537,17186148
Savoie,15792382,29268187,30010854,32983639,39930901
Saône-et-Loire,4882697,9818213,11143168,11776918,15141898
Seine-Maritime,16617823,0,0,39035331,41841889
Seine-Saint-Denis,31869117,0,0,64499133,78268724
Seine-et-Marne,28435750,0,0,61325934,72682812
Somme,7008997,0,0,15058406,18210268
Tarn,4092872,0,0,9137372,8749497
Tarn-et-Garonne,2814411,0,0,6770876,8316354
Territoire de Belfort,1333612,0,0,2885211,3333313
Val-d'Oise,25161455,0,0,53328574,63101002
Val-de-Marne,43107394,0,0,88789305,103001629
Var,41290696,0,0,97036765,103520517
Vaucluse,9750517,0,0,23499643,29351439
Vendée,13785121,0,0,33978558,42386132
Vienne,4873887,0,0,10914061,13313736
Vosges,3328436,0,0,7798777,9745168
Yonne,3312175,0,0,7891596,10067712
Yvelines,39556589,0,0,81816044,98466675
